Stock,Year,"Cost of Revenue, Total",Inventories - Other,"Accounts Receivable - Trade, Net",Total Current Assets,Net Sales,Gross Revenue,Total Current Liabilities,Cash from Operating Activities,Total Liabilities,Total Equity,Net Income Incl Extra Before Distributions,Gross Profit,Operating Income,"Total Assets, Reported","Accounts Receivable - Trade, Net",Accounts Payable,Net Income Before Taxes,Interest Expense - Operating,"Interest Expense, Supplemental","Total Fixed Assets, Net",EBITDA,Cash from Investing Activities
KSD.HN,2021,61343643830.00,5805490640.00,41068616300,53679832610,NULL,68826576090,11676890090,-6696002610,11676890090,1.2062E+11,19173837830,7482932260,21768525150,1.32297E+11,41068616300,6253027260,21838661470,NULL,NULL,60614765300.00,5321298300.00,-5454897370.00
KSD.HN,2022,95595354210.00,7163615270.00,33298972150,60086875450,NULL,1.02955E+11,11719520610,11069901400,11719520610,1.20776E+11,155188960,7359775830,141419890,1.32495E+11,33298972150,1421625130,252439160,252639010,252639010,63405541930.00,6270669470.00,-8954722940.00
NBW.HN,2016,391437056150.00,13804045450.00,6926726380,88263776250,NULL,5.59011E+11,75040390980,-1706039100,75090990410,1.61493E+11,11125717370,1.67574E+11,11852030470,2.36584E+11,6926726380,53729466090,12567830090,0,0,148319841330.00,27942139300.00,-30030542020.00
NBW.HN,2017,424793907460.00,15154607510.00,7558281430,74933466100,NULL,6.04218E+11,95484108750,44864135460,96146524380,1.63286E+11,11623315200,1.79424E+11,14547801950,2.59433E+11,7558281430,72114357110,14586393230,35416670,35416670,184473977720.00,37975622070.00,-17284802440.00
NBW.HN,2018,452437209270.00,11655988850.00,16978999430,61451507000,NULL,6.4179E+11,83153636940,16339289670,84086052570,1.62777E+11,11523128050,1.89352E+11,14590364860,2.46863E+11,16978999430,60378201910,14604880610,0,0,185411558560.00,42379052440.00,-23487784690.00
NBW.HN,2019,443111068400.00,14072049860.00,12496947740,64705437180,NULL,6.65003E+11,81193345770,46519520420,81835961970,1.64857E+11,13569844740,2.21892E+11,17657714080,2.46693E+11,12496947740,56453775660,17972941330,0,0,181987801660.00,48512832930.00,-33539468330.00
NBW.HN,2020,522656245200.00,11765071950.00,16367325090,1.03303E+11,NULL,7.49333E+11,1.06037E+11,76080199070,1.06659E+11,1.67316E+11,16340210740,2.26676E+11,20539115950,2.73976E+11,16367325090,80670336100,20799340780,0,0,170672436210.00,51215994760.00,-27990043040.00
NBW.HN,2021,547421591760.00,8928432420.00,24997531820,1.04795E+11,NULL,7.48628E+11,89034224400,21084381330,89439224400,1.68869E+11,18287192600,2.01206E+11,21824759910,2.58308E+11,24997531820,60006028160,22656668510,NULL,NULL,153513302320.00,54556675660.00,-14531326860.00
NBW.HN,2022,586293646340.00,26522217660.00,11645802140,1.54847E+11,NULL,8.5343E+11,1.18922E+11,78043376580,1.19267E+11,1.81894E+11,20756031340,2.67136E+11,26842357740,3.01161E+11,11645802140,75971557310,26952458630,NULL,NULL,146274641240.00,56377700660.00,-63151888050.00
TDC.HM,2016,1042166787520.00,1423845920.00,8.55096E+11,5.27473E+12,NULL,1.48557E+12,3.51109E+12,1.11109E+11,6.08475E+12,1.19354E+12,1.21993E+11,4.07511E+11,1.57909E+11,7.27828E+12,8.55096E+11,1.61429E+12,1.66753E+11,1.11183E+11,1.11183E+11,1878439474960.00,305212669060.00,-36442879210.00
TDC.HM,2017,928942024950.00,-620114390.00,6.89366E+11,5.60713E+12,NULL,1.43525E+12,4.38057E+12,2.68835E+11,6.65987E+12,1.20693E+12,1.30735E+11,4.25358E+11,1.68281E+11,7.86681E+12,6.89366E+11,2.27251E+12,1.73074E+11,1.45743E+11,1.45743E+11,1822154389509.99,334013356510.00,16108013980.00
